                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.75973,                 1.2436,                0.41857,                0.86657,                0.83586,                0.66695,                0.69272,                0.52692,                0.73887,                0.65181,                0.65172,                0.40768,                  0.631,                0.97972,                0.37575,                0.85228,             0.00018575,             0.00018575,             0.00018575
                     89,                0.76849,                 1.2513,                0.42175,                0.86786,                0.87092,                0.65554,                0.69658,                0.52698,                0.81175,                0.59726,                0.62874,                0.41582,                0.61966,                0.97173,                0.37138,                0.85013,             0.00017338,             0.00017338,             0.00017338
                     90,                0.75834,                 1.2459,                0.41846,                0.86471,                0.84984,                0.64948,                0.69492,                 0.5269,                0.72066,                0.64857,                0.65239,                0.40434,                0.62974,                0.98091,                 0.3768,                0.85227,               0.000161,               0.000161,               0.000161
                     91,                0.73293,                 1.2752,                0.41218,                0.87202,                0.91106,                0.64446,                0.68322,                0.52456,                0.79377,                 0.6082,                0.62755,                0.40619,                0.62271,                0.98537,                0.37438,                0.85007,             0.00014862,             0.00014862,             0.00014862
                     92,                0.72486,                 1.2861,                0.41019,                  0.871,                0.91442,                0.64501,                0.68943,                0.52655,                0.83893,                0.60892,                 0.6327,                0.41309,                 0.6164,                0.99154,                0.37136,                0.84879,             0.00013625,             0.00013625,             0.00013625
                     93,                0.72069,                 1.2689,                 0.4049,                0.86999,                0.91101,                0.64173,                0.69921,                0.52984,                0.73528,                0.64915,                0.65212,                0.41718,                0.62261,                0.97912,                0.37244,                0.85014,             0.00012387,             0.00012387,             0.00012387
                     94,                0.71361,                  1.271,                0.40404,                0.86707,                0.94014,                0.64228,                0.68885,                0.52813,                0.84249,                0.60826,                0.64175,                0.40981,                 0.6274,                 0.9778,                0.37314,                0.85026,              0.0001115,              0.0001115,              0.0001115
                     95,                0.70851,                 1.2672,                 0.4004,                0.86372,                0.87713,                0.66781,                0.70216,                0.53221,                0.83839,                 0.6095,                0.65343,                0.41428,                0.61363,                 0.9804,                0.36837,                0.84891,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                0.70312,                 1.2679,                 0.3975,                0.86649,                0.85645,                0.66871,                 0.6987,                0.53194,                0.83505,                 0.6077,                0.64168,                0.41083,                0.60955,                0.97771,                0.36695,                0.84877,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                0.71173,                 1.2674,                0.40042,                0.86473,                0.97115,                0.64665,                0.69121,                0.52798,                 0.8497,                0.60736,                0.62809,                0.40659,                0.60678,                0.97972,                0.36476,                0.84812,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                0.69916,                 1.2763,                0.39468,                0.86848,                0.93809,                 0.6487,                0.70331,                0.53022,                0.84147,                0.61039,                0.64232,                0.41066,                0.60947,                0.96904,                0.36443,                0.84758,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                0.69518,                  1.267,                0.39171,                0.86266,                0.96069,                0.64996,                0.70266,                 0.5341,                0.85469,                0.60758,                0.64013,                 0.4155,                0.60224,                0.97617,                0.36317,                0.84661,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                0.69637,                 1.2573,                0.39287,                 0.8631,                0.93147,                0.65072,                0.70271,                0.53375,                0.82453,                0.61059,                0.64324,                 0.4101,                 0.6072,                0.96736,                0.36249,                0.84698,              3.725e-05,              3.725e-05,              3.725e-05
