                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                0.69012,                 1.1712,                0.41664,                 0.8301,                0.84933,                0.73578,                0.77414,                0.58319,                0.80459,                0.68058,                0.70448,                0.43967,                0.56187,                0.91955,                 0.3658,                0.82301,             0.00073025,             0.00073025,             0.00073025
                     45,                0.68976,                 1.1597,                0.41122,                0.82799,                0.91604,                0.75161,                0.80696,                0.60321,                0.83773,                0.71055,                0.73227,                0.44489,                0.55513,                 0.9345,                0.36785,                0.82362,             0.00071788,             0.00071788,             0.00071788
                     46,                0.69216,                 1.1628,                0.41413,                0.82851,                0.92419,                0.72508,                0.79279,                0.59189,                0.89592,                 0.6623,                0.72367,                0.45829,                0.54742,                0.89583,                0.36588,                 0.8221,              0.0007055,              0.0007055,              0.0007055
                     47,                0.68554,                 1.1761,                0.41091,                0.82701,                0.94054,                0.72906,                0.78583,                0.59689,                0.87598,                0.66363,                0.71509,                0.43207,                0.58811,                0.96504,                0.37825,                0.82665,             0.00069313,             0.00069313,             0.00069313
                     48,                0.67002,                 1.1388,                0.40288,                0.82832,                0.91646,                 0.7427,                0.78974,                 0.6006,                0.86507,                0.71004,                0.74759,                 0.4655,                0.55126,                0.89359,                0.35621,                0.82061,             0.00068075,             0.00068075,             0.00068075
                     49,                0.69006,                  1.159,                0.41401,                0.82852,                 0.9542,                 0.7309,                0.80245,                0.59892,                0.86384,                0.68364,                0.72713,                0.43999,                0.56984,                0.90736,                0.35938,                0.82191,             0.00066838,             0.00066838,             0.00066838
                     50,                0.67855,                 1.1427,                0.40363,                0.82755,                0.93259,                0.74721,                0.79774,                0.60251,                0.83297,                0.70393,                0.73945,                0.44063,                 0.5598,                0.92192,                0.36133,                0.82061,               0.000656,               0.000656,               0.000656
                     51,                0.66934,                 1.1522,                0.39981,                0.82475,                0.94402,                 0.7551,                 0.8011,                0.62423,                0.87272,                0.71238,                0.74112,                0.46494,                0.53623,                0.86927,                0.35123,                0.81973,             0.00064362,             0.00064362,             0.00064362
                     52,                  0.668,                 1.1415,                0.39868,                0.82587,                0.92599,                0.75259,                0.80895,                0.61533,                 0.8529,                0.70611,                0.74354,                0.45662,                0.55211,                0.88737,                0.35761,                0.82119,             0.00063125,             0.00063125,             0.00063125
                     53,                0.66448,                 1.1165,                0.39427,                0.82413,                 0.8933,                 0.7692,                0.81524,                0.62864,                0.82812,                0.72173,                0.74538,                0.45655,                0.53419,                 0.8803,                0.35066,                  0.818,             0.00061887,             0.00061887,             0.00061887
                     54,                0.68293,                 1.1101,                 0.4026,                 0.8227,                0.92977,                0.76452,                0.82021,                0.61934,                0.86668,                0.74004,                0.76068,                0.47414,                0.53247,                0.87334,                0.34257,                0.81718,              0.0006065,              0.0006065,              0.0006065
                     55,                0.66113,                 1.1255,                0.39535,                0.82514,                0.91898,                0.75377,                0.80308,                0.62096,                0.85475,                0.72987,                0.73699,                0.46707,                0.53353,                0.86846,                0.34502,                0.82006,             0.00059413,             0.00059413,             0.00059413
                     56,                0.65493,                 1.1117,                0.39168,                0.82175,                 0.9485,                0.75005,                0.81347,                0.60512,                0.86288,                0.71197,                0.74153,                0.44891,                0.60513,                0.91466,                0.36427,                0.82292,             0.00058175,             0.00058175,             0.00058175
                     57,                0.67161,                 1.1296,                0.39778,                0.82417,                0.95637,                0.75782,                0.82092,                0.62267,                0.89683,                0.72461,                0.76704,                0.45861,                0.55894,                0.87636,                0.35235,                0.82152,             0.00056938,             0.00056938,             0.00056938
                     58,                0.65216,                 1.1086,                0.38669,                0.82112,                0.91075,                0.76588,                0.81004,                0.62824,                0.84067,                0.73928,                0.76008,                 0.4673,                0.52465,                0.87266,                0.34051,                0.81878,               0.000557,               0.000557,               0.000557
                     59,                0.66056,                 1.1119,                0.38815,                0.82367,                0.90726,                0.75171,                 0.7989,                0.61809,                0.84043,                0.71365,                0.73262,                0.45516,                0.55179,                0.87609,                0.34831,                0.82215,             0.00054463,             0.00054463,             0.00054463
                     60,                0.65645,                 1.1245,                0.39282,                0.82353,                0.96416,                0.76377,                0.81088,                0.62982,                0.84507,                0.73412,                0.75075,                0.46004,                0.53307,                0.87779,                0.34623,                0.81866,             0.00053225,             0.00053225,             0.00053225
                     61,                0.65714,                 1.1098,                0.39037,                0.82143,                0.91668,                0.76008,                0.81159,                0.64034,                0.87793,                0.72156,                0.75088,                0.46524,                0.52759,                0.86185,                 0.3382,                0.81929,             0.00051988,             0.00051988,             0.00051988
                     62,                0.64367,                  1.107,                0.38294,                0.82136,                0.90566,                0.75472,                0.81705,                0.63155,                0.81913,                0.70095,                0.72527,                0.44392,                0.54619,                0.87927,                0.34849,                0.82145,              0.0005075,              0.0005075,              0.0005075
                     63,                0.64967,                 1.0977,                0.38231,                0.82237,                0.97195,                 0.7676,                0.82488,                0.63372,                 0.8362,                0.68391,                0.74713,                0.47583,                0.53938,                0.84972,                0.35014,                 0.8171,             0.00049513,             0.00049513,             0.00049513
