                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.22621,                 6.9067,                  0.286,                0.23546,                 1.0104,                0.99759,                      1,                  0.995,                0.95724,                 0.1449,                0.14035,                0.05406,                 0.0109,                0.37218,                 7.7927,                0.37601,                 0.5277,                0.77595,              0.0018693,              0.0018693,              0.0018693
                     36,                0.21198,                 6.5157,                0.28901,                0.23706,                 1.0386,                0.99896,                      1,                  0.995,                0.96159,                0.12728,                0.12281,                0.05809,                0.01958,                0.36529,                 7.1125,                0.37254,                0.37347,                0.75271,              0.0018654,              0.0018654,              0.0018654
                     37,                0.21576,                 6.4231,                0.29413,                0.23587,                 1.0048,                0.99887,                      1,                  0.995,                0.96468,                0.05262,                0.05263,                0.01843,                 0.0029,                 0.3449,                 7.5027,                0.35907,                0.40294,                0.73031,              0.0018614,              0.0018614,              0.0018614
                     38,                0.21431,                 6.5282,                0.27148,                0.22231,                 1.0331,                0.99704,                      1,                  0.995,                0.97857,                0.03509,                0.07018,                0.01956,                0.00287,                0.28695,                  7.524,                  0.367,                0.46716,                0.64934,              0.0018574,              0.0018574,              0.0018574
                     39,                  0.225,                 6.1483,                0.27819,                0.24339,                 1.0045,                0.99879,                      1,                  0.995,                0.97716,                0.24544,                0.24561,                 0.1636,                0.05824,                0.33401,                 6.4453,                0.35672,                  0.397,                  0.697,              0.0018535,              0.0018535,              0.0018535
                     40,                0.23973,                 6.2863,                0.27952,                0.24101,                 1.0331,                0.99577,                      1,                  0.995,                0.96813,                 0.2772,                0.26316,                0.17249,                0.05069,                0.35803,                 6.5861,                0.36559,                0.37667,                0.76961,              0.0018495,              0.0018495,              0.0018495
                     41,                0.22609,                 6.0062,                0.28291,                0.23272,                 1.0211,                0.97889,                      1,                0.99414,                0.97071,                0.32702,                0.33333,                0.21993,                0.05534,                0.36979,                 6.5094,                0.37427,                0.52298,                0.78871,              0.0018456,              0.0018456,              0.0018456
                     42,                0.22187,                  5.963,                0.27837,                0.22896,                 1.0221,                0.99897,                      1,                  0.995,                 0.9741,                0.29955,                0.29825,                0.20991,                0.04256,                 0.3852,                 6.6155,                0.37517,                0.47895,                0.79072,              0.0018416,              0.0018416,              0.0018416
                     43,                0.21004,                 6.1658,                 0.2779,                0.22535,                  1.013,                0.99823,                      1,                  0.995,                0.97426,                 0.2977,                0.29825,                0.19226,                0.03858,                0.32445,                 6.5836,                0.37198,                0.44994,                0.70682,              0.0018376,              0.0018376,              0.0018376
                     44,                0.23197,                 6.0996,                0.27666,                0.24516,                 1.0293,                0.98176,                      1,                0.99483,                0.94843,                0.29291,                0.29825,                0.16063,                0.03928,                0.35659,                 6.3951,                0.37628,                0.35835,                0.72574,              0.0018337,              0.0018337,              0.0018337
                     45,                0.22492,                 6.1179,                0.27167,                 0.2322,                 1.0355,                0.98272,                      1,                  0.995,                0.92748,                0.32752,                0.33333,                0.16793,                0.03745,                0.38636,                 6.5365,                 0.3807,                0.39651,                0.78773,              0.0018297,              0.0018297,              0.0018297
                     46,                0.21018,                 5.8834,                 0.2675,                0.23262,                 1.0005,                0.99859,                      1,                  0.995,                0.93558,                0.24531,                0.24561,                0.11335,                0.03402,                0.36929,                 6.5307,                0.39707,                0.39779,                0.76354,              0.0018258,              0.0018258,              0.0018258
                     47,                0.22949,                 6.0913,                0.27248,                 0.2345,                 1.0073,                0.99806,                      1,                  0.995,                0.95666,                0.33269,                0.33333,                0.19089,                0.04732,                0.34593,                 6.1187,                0.37342,                0.43399,                0.73888,              0.0018218,              0.0018218,              0.0018218
                     48,                0.22176,                 5.8521,                0.27515,                0.23736,                 1.0275,                0.99907,                      1,                  0.995,                0.97629,                0.35061,                0.35088,                0.26511,                0.06064,                0.33496,                 6.1578,                0.37455,                0.33417,                0.70128,              0.0018178,              0.0018178,              0.0018178
                     49,                0.22189,                  5.835,                0.26579,                0.21942,                 1.0311,                0.99903,                      1,                  0.995,                0.96212,                0.45597,                0.45614,                0.31743,                 0.0833,                0.36371,                 5.6886,                0.37011,                0.47527,                0.73271,              0.0018139,              0.0018139,              0.0018139
                     50,                0.19739,                 5.6796,                0.27124,                0.21992,                 1.0064,                0.99895,                      1,                  0.995,                0.94525,                 0.3505,                0.35088,                0.20368,                0.05448,                0.32691,                 5.8745,                  0.364,                0.37109,                 0.6918,              0.0018099,              0.0018099,              0.0018099
                     51,                0.19095,                 5.4462,                0.27167,                0.20799,                0.98361,                0.99903,                      1,                  0.995,                 0.9721,                0.45592,                0.45614,                0.36522,                0.10311,                0.32799,                 5.6491,                0.36648,                0.33908,                0.68814,               0.001806,               0.001806,               0.001806
                     52,                0.20443,                 5.9401,                0.27423,                0.21599,                 1.0111,                      1,                0.99874,                  0.995,                0.92606,                0.16063,                0.15789,                0.08773,                0.01874,                0.48237,                 7.1271,                0.38297,                0.49491,                0.90514,               0.001802,               0.001802,               0.001802
                     53,                0.22223,                 6.1333,                0.27811,                0.23764,                 1.0022,                0.99172,                      1,                  0.995,                0.95783,                 0.1901,                0.17544,                0.18627,                0.05507,                 0.4076,                 7.3916,                0.35771,                 0.3954,                0.84541,               0.001798,               0.001798,               0.001798
                     54,                0.21581,                 5.9434,                0.26951,                 0.2317,                 1.0124,                0.99845,                      1,                  0.995,                0.97664,                0.28031,                 0.2807,                0.21644,                0.05478,                0.33301,                 6.4792,                0.34782,                0.44988,                0.74428,              0.0017941,              0.0017941,              0.0017941
                     55,                0.20681,                 5.7941,                 0.2665,                0.21894,                 1.0197,                0.99744,                      1,                  0.995,                0.98108,                0.15785,                0.15789,                0.16933,                0.07012,                0.35541,                  6.504,                0.34995,                0.38538,                0.76901,              0.0017901,              0.0017901,              0.0017901
                     56,                0.21299,                 5.6122,                0.26898,                0.21735,                 1.0038,                0.99718,                      1,                  0.995,                0.96613,                0.33261,                0.33333,                0.19748,                0.05554,                0.38276,                 6.1385,                0.34981,                 0.3765,                0.80697,              0.0017862,              0.0017862,              0.0017862
                     57,                0.21299,                  5.589,                0.26332,                0.20326,                0.99635,                0.99713,                      1,                  0.995,                0.96979,                0.38483,                0.38596,                0.28116,                0.04849,                 0.3558,                 6.3229,                0.34656,                0.36505,                0.76754,              0.0017822,              0.0017822,              0.0017822
                     58,                 0.2029,                 5.3518,                0.26055,                0.19862,                 1.0126,                0.99622,                      1,                  0.995,                 0.9708,                0.28002,                 0.2807,                0.17878,                 0.0481,                0.34539,                 5.7075,                  0.352,                0.36258,                0.74697,              0.0017782,              0.0017782,              0.0017782
                     59,                0.20905,                 5.2387,                0.27069,                0.22017,                 1.0136,                0.98157,                      1,                0.99414,                0.97446,                0.39606,                0.40351,                0.27054,                0.07548,                0.34846,                 5.3635,                0.35873,                0.41403,                0.75318,              0.0017743,              0.0017743,              0.0017743
                     60,                 0.2154,                 5.2222,                0.27105,                0.21679,                0.99292,                0.99467,                      1,                  0.995,                0.97662,                0.36628,                0.36842,                0.16381,                0.03838,                0.35762,                 5.5924,                0.33294,                0.45255,                0.74577,              0.0017703,              0.0017703,              0.0017703
                     61,                0.19925,                 5.0966,                0.25709,                0.20402,                 1.0236,                0.99007,                      1,                  0.995,                0.96643,                 0.2606,                0.26316,                0.12618,                0.03962,                0.46248,                 5.7963,                0.33456,                0.48827,                0.87819,              0.0017664,              0.0017664,              0.0017664
                     62,                0.21808,                 5.3129,                0.25221,                0.22458,                 1.0269,                 0.9945,                      1,                  0.995,                0.97446,                0.33273,                0.33333,                0.20512,                0.03993,                0.35407,                 6.0448,                0.32821,                0.39067,                0.74725,              0.0017624,              0.0017624,              0.0017624
                     63,                0.20331,                 5.3192,                0.25189,                 0.2126,                 1.0131,                0.99672,                      1,                  0.995,                0.98153,                0.38575,                0.38596,                0.32298,                0.08536,                0.29087,                 5.1412,                 0.3342,                0.35283,                0.64726,              0.0017584,              0.0017584,              0.0017584
