                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.16373,                 4.2499,                 0.2312,                0.16858,                0.97651,                0.99917,                      1,                  0.995,                0.98534,                 0.6763,                0.66667,                 0.5862,                0.25281,                0.29867,                 4.6058,                0.28977,                0.30365,                0.66797,              0.0006932,              0.0006932,              0.0006932
                     69,                0.17861,                 4.2549,                0.22249,                0.18042,                0.97165,                 0.9993,                      1,                  0.995,                0.98447,                0.76563,                0.75439,                0.68651,                0.23141,                0.29402,                 3.9792,                0.28642,                0.30942,                0.67307,              0.0006734,              0.0006734,              0.0006734
                     70,                0.16767,                 4.0817,                0.22881,                0.17614,                 1.0059,                0.99904,                      1,                  0.995,                0.97999,                0.69059,                0.68421,                0.57973,                0.22017,                 0.3062,                 4.2104,                0.28897,                0.31118,                0.68966,              0.0006536,              0.0006536,              0.0006536
                     71,                0.16278,                 4.1709,                0.22063,                 0.1698,                0.99127,                0.99902,                      1,                  0.995,                0.98037,                0.73612,                0.73684,                0.67627,                 0.2643,                0.30201,                 4.0587,                0.29002,                0.32245,                0.68828,              0.0006338,              0.0006338,              0.0006338
                     72,                 0.1682,                 3.9832,                 0.2239,                0.17452,                0.98857,                0.99907,                      1,                  0.995,                0.98054,                0.73625,                0.73684,                0.66407,                0.37355,                0.31483,                 3.5516,                0.28562,                0.32083,                0.69959,               0.000614,               0.000614,               0.000614
                     73,                0.16454,                 3.9772,                0.22273,                0.16848,                0.97511,                0.99909,                      1,                  0.995,                 0.9752,                0.73614,                0.73684,                0.65011,                0.29873,                0.30966,                 3.8876,                0.27574,                0.32751,                0.68937,              0.0005942,              0.0005942,              0.0005942
                     74,                0.15806,                 4.0615,                0.22413,                0.17254,                0.98319,                0.99905,                      1,                  0.995,                0.98052,                0.70479,                0.70175,                0.64635,                0.31414,                0.29955,                 3.9364,                0.28456,                0.34006,                 0.6764,              0.0005744,              0.0005744,              0.0005744
                     75,                0.15605,                  3.751,                0.22715,                 0.1625,                 0.9915,                0.99906,                      1,                  0.995,                0.98101,                0.77119,                0.77193,                0.70006,                0.33278,                0.29014,                 3.3638,                0.29076,                0.34544,                0.67481,              0.0005546,              0.0005546,              0.0005546
                     76,                0.15517,                 3.6403,                 0.2094,                0.15906,                0.99039,                0.99902,                      1,                  0.995,                  0.984,                0.77125,                0.77193,                0.68809,                0.32941,                0.29689,                 3.5525,                 0.2925,                0.35555,                0.68764,              0.0005348,              0.0005348,              0.0005348
                     77,                0.15865,                 3.5842,                  0.221,                0.16497,                0.95815,                0.99905,                      1,                  0.995,                0.98493,                0.78896,                0.78947,                0.71212,                0.34846,                0.28668,                  3.476,                0.28317,                0.34586,                 0.6763,               0.000515,               0.000515,               0.000515
                     78,                 0.1593,                 3.7005,                0.21654,                0.17375,                0.96713,                0.99905,                      1,                  0.995,                 0.9826,                0.80682,                0.80702,                0.75454,                0.33108,                0.28882,                  3.488,                0.28461,                 0.3263,                0.67339,              0.0004952,              0.0004952,              0.0004952
                     79,                0.15443,                 3.7255,                0.21867,                0.16297,                0.97262,                0.99905,                      1,                  0.995,                0.98083,                0.79106,                0.78947,                0.73953,                0.27842,                0.30781,                 3.6074,                0.28755,                0.32341,                0.68752,              0.0004754,              0.0004754,              0.0004754
                     80,                0.16883,                 3.8729,                0.22999,                0.17612,                0.95957,                0.99907,                      1,                  0.995,                 0.9818,                0.82418,                0.82456,                0.78191,                0.36951,                0.30075,                 3.4639,                0.28931,                0.29809,                0.69318,              0.0004556,              0.0004556,              0.0004556
                     81,                0.15223,                 3.8375,                0.22225,                0.15715,                0.96932,                0.99907,                      1,                  0.995,                0.98209,                0.80646,                0.80702,                0.76388,                 0.3962,                0.28325,                 3.2927,                0.28506,                0.30894,                0.67174,              0.0004358,              0.0004358,              0.0004358
